 ,【名称】,【奖惩】,【说明】
1,在上海长江隧桥抢救溺水小朋友,资金850分,上海长江隧桥是上海长江大桥、上海长江隧道的统称，又称崇明越江通道、沪崇通道工程，为目前世界上规模最大的隧桥结合工程。
2,在上海博物馆当管理员,免费盖一栋房子,上海博物馆（新馆）位于上海市的中心――人民广场的南侧。上海博物馆是与北京、南京、西安齐名的中国四大博物馆之一。
3,到石库门订不到旅馆露宿街头,罚款房子每栋200分，旅馆600分,目前上海的石库门主要集中在黄埔区、卢湾区和静安区。包括卢湾区成都南路正元里、淮海巷、美仁里；卢湾区长乐路庆福里。
4,停留世纪公园生态型城市公园,休息一会,世纪公园位于上海市浦东新区花木行政文化中心，是上海内环线中心区域内最大的富有自然特征的生态型城市公园。
5,到上海欢乐谷打工度假,资金900分,上海欢乐谷位于上海西南部的松江佘山国家旅游度假区内，距上海市中心区40公里。是上海乃至全国规模最大、景色最美、科技含量最高的主题公园。
6,在大观园捡到钱包交给警察叔叔,资金800分,上海五星级公园，位于上海青浦区青商公路701路，淀山湖西侧，距离上海市区65公里，占地135亩，建筑面积约8000平方米，分东、西两大景区。
7,在陆家嘴拾荒者找家,资金700分,陆家嘴金融贸易区是中国上海的主要金融中心r五，位于灌浆的黄浦江畔，其中规划开发地区为6.8平方公里，已有约100座大厦落成。
8,在上海图书馆大声喧哗,罚款600分,上海图书馆是大型的综合性研究型公共图书馆，于1952年7月建馆。1996年前，上海图书馆位于南京西路325号，于1996年迁入新馆。
9,到上海动物园游玩,给每人100分观光费,上海动物园地处上海市西郊，毗邻虹桥国际机场，原名西郊公园，1980年改名为上海动物园，全国十佳动物园之一，中国第二大城市动物园。
10,在上海人民广场打架,赔偿500分,上海人民广场位于上海黄浦区，成形于上海开埠以后，原来称上海跑马厅，是当时上层社会举赛马等活动的场所。
11,在大世界游乐世界,资金600分,游乐中心由“游乐世界”、“博览世界”、“竞技世界”、“美食世界”四部分组成，推出八大系列的游乐项目。
12,到徐家汇天主教堂研究历史,资金1000分,徐家汇天主教堂是一座仿法国中世纪哥特式建筑，以其规模巨大、造型美观、工艺精湛，曾被誉为上海的第一建筑。是上海天主教三自爱国会所在地。
